0,12,12,12,-1,4,0,17,8,16,-3,21,4,2,12,19,4,2,6,2,-1,3,9,6,4,8,1,1,13,6,3,0,1,2,6,1,4,2,11,0,2,4,4,0,2,0,2,6,2,3,1,0,3,2,1,0,0,0,0,4,1,2,5,-1,1,0,0,4,1,1,2,0,3,1,0,0,1,2,4,0,0,3,1,0,1,0,1,0,0,1,0,4,1,6,0,0,2,0,0,0,0,0,0,2,2,-1,1,1,1,0,1,1,-17
-12,0,13,6,2,7,0,18,2,13,9,21,3,-1,8,8,2,4,4,2,5,-1,2,3,2,8,1,0,4,8,1,3,2,2,0,1,1,2,11,2,3,2,17,1,1,1,2,0,2,0,0,0,0,2,0,0,0,2,1,7,0,2,3,1,0,0,0,6,1,0,0,3,7,0,0,0,0,3,3,0,0,1,0,0,0,2,1,0,1,0,0,3,1,0,0,0,6,0,6,1,1,1,0,2,0,0,0,0,0,1,1,0,-8
-12,-13,0,2,-2,10,-3,2,1,7,6,24,-2,1,4,11,3,4,-2,-3,1,0,3,3,0,0,-1,1,1,5,0,1,0,1,1,0,0,1,9,0,2,7,12,0,0,2,3,1,0,1,0,2,2,2,1,0,0,0,0,3,0,1,3,0,0,0,0,6,0,1,1,5,2,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,8,2,11,1,0,0,0,11,1,0,1,0,1,0,2,0,-23
-12,-6,-2,0,0,0,2,2,0,4,-1,7,1,-4,9,5,2,7,6,1,2,2,0,5,-1,7,2,3,3,3,0,0,0,1,1,4,1,4,5,1,2,0,7,1,1,5,2,1,1,2,0,1,8,2,0,0,0,0,2,1,1,1,3,0,0,1,0,0,0,1,0,3,4,0,0,0,1,3,0,0,0,4,2,0,1,0,3,0,0,0,0,5,2,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-12
1,-2,2,0,0,-1,0,3,3,-1,2,2,1,0,-1,3,2,2,-1,2,4,2,-1,2,3,1,1,1,5,1,0,0,0,0,3,0,1,1,1,0,3,0,3,0,0,2,-1,1,2,0,1,0,0,0,0,0,0,0,2,7,1,1,0,0,0,0,0,4,0,0,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
-4,-7,-10,0,1,0,0,1,0,5,-2,15,3,2,8,9,3,2,6,2,8,2,3,2,2,2,-1,0,2,1,2,0,0,0,4,-1,0,1,7,-1,4,1,1,0,1,3,3,2,1,5,1,1,4,0,0,0,2,1,1,1,-1,1,4,2,0,0,0,1,2,2,1,1,4,2,0,0,0,1,1,0,1,2,2,0,4,1,5,0,0,0,0,0,4,0,1,0,0,0,4,1,0,0,0,1,0,1,2,0,1,0,4,0,-21
0,0,3,-2,0,0,0,1,-6,4,0,4,2,2,-1,2,0,1,0,2,0,2,4,2,0,2,0,2,0,1,0,1,2,0,0,0,0,0,1,0,3,1,1,4,2,2,0,2,1,2,3,1,2,0,2,0,0,0,1,0,2,1,2,1,2,0,2,2,1,1,1,5,1,2,0,2,0,1,0,0,0,3,0,0,1,0,4,0,1,1,2,3,1,1,1,1,2,3,3,0,0,2,0,2,0,2,0,2,1,1,3,0,-1
-17,-18,-2,-2,-3,-1,-1,0,9,-3,-2,0,2,1,2,9,6,2,1,0,-1,6,4,2,2,2,2,2,4,5,2,1,0,3,1,3,2,2,7,1,4,3,1,1,1,3,0,3,0,1,1,0,1,0,0,0,1,0,1,4,1,2,7,0,0,1,2,1,0,1,3,3,4,0,0,0,1,3,1,0,2,2,1,0,5,1,0,0,0,1,0,1,4,2,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,8,0,-23
-8,-2,-1,0,-3,0,6,-9,0,-1,1,-3,-2,3,1,0,4,6,3,5,0,6,4,2,4,5,6,-2,4,5,8,4,1,1,1,1,0,7,5,-1,2,5,6,3,0,3,5,0,2,1,3,2,3,0,3,0,0,0,0,4,2,6,0,1,1,3,1,1,1,5,2,2,5,1,0,2,1,2,2,0,1,2,2,1,2,1,2,1,0,1,1,4,1,1,0,1,3,0,3,0,1,3,0,0,0,2,0,1,0,1,1,0,-11
-16,-13,-7,-4,1,-5,-4,3,1,0,-1,2,-3,0,2,5,4,2,3,2,2,1,-1,2,0,1,1,2,1,3,1,0,1,2,0,0,0,0,3,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,8,0,0,0,0,3,0,1,1,2,2,1,0,0,0,14,0,0,0,4,2,0,1,0,0,1,0,0,0,0,7,3,0,1,2,0,4,0,0,0,0,3,0,0,0,0,9,0,0,1,-19
